Repetição,Cenário,Método,Data,Real,Estimado
1,Aleatório 20%,Média global,2019-02-01,489.1,576.6514285714287
1,Aleatório 20%,Média global,2019-07-01,667.2,576.6514285714287
1,Aleatório 20%,Média global,2019-08-01,677.0,576.6514285714287
1,Aleatório 20%,Média global,2020-06-01,635.0,576.6514285714287
1,Aleatório 20%,Média global,2020-08-01,729.4,576.6514285714287
1,Aleatório 20%,Média global,2020-09-01,645.4,576.6514285714287
1,Aleatório 20%,Média global,2021-04-01,636.1,576.6514285714287
1,Aleatório 20%,Média global,2021-06-01,703.3,576.6514285714287
1,Aleatório 20%,Média global,2022-04-01,636.2,576.6514285714287
1,Aleatório 20%,Média global,2022-11-01,682.8,576.6514285714287
1,Aleatório 20%,Linear,2015-02-01,359.5,444.8
1,Aleatório 20%,Linear,2017-05-01,496.8,504.54999999999995
1,Aleatório 20%,Linear,2017-09-01,531.7,576.4
1,Aleatório 20%,Linear,2017-10-01,513.0,553.7
1,Aleatório 20%,Linear,2018-03-01,532.5,488.26666666666665
1,Aleatório 20%,Linear,2018-04-01,521.7,520.8333333333333
1,Aleatório 20%,Linear,2019-02-01,489.1,571.075
1,Aleatório 20%,Linear,2019-07-01,667.2,599.8000000000001
1,Aleatório 20%,Linear,2019-08-01,677.0,600.9
1,Aleatório 20%,Linear,2020-06-01,635.0,637.5
1,Aleatório 20%,Linear,2020-08-01,729.4,660.6666666666666
1,Aleatório 20%,Linear,2020-09-01,645.4,638.9333333333334
1,Aleatório 20%,Linear,2021-04-01,636.1,667.75
1,Aleatório 20%,Linear,2021-06-01,703.3,724.0999999999999
1,Aleatório 20%,Linear,2022-04-01,636.2,683.0
1,Aleatório 20%,Linear,2022-11-01,682.8,683.4
1,Aleatório 20%,PCHIP,2015-02-01,359.5,444.8
1,Aleatório 20%,PCHIP,2017-05-01,496.8,495.9588628179812
1,Aleatório 20%,PCHIP,2017-09-01,531.7,576.5264905828597
1,Aleatório 20%,PCHIP,2017-10-01,513.0,546.1965786247631
1,Aleatório 20%,PCHIP,2018-03-01,532.5,477.19913042744133
1,Aleatório 20%,PCHIP,2018-04-01,521.7,520.4093719659938
1,Aleatório 20%,PCHIP,2019-02-01,489.1,572.707511449779
1,Aleatório 20%,PCHIP,2019-07-01,667.2,600.6753342554172
1,Aleatório 20%,PCHIP,2019-08-01,677.0,601.7043337943753
1,Aleatório 20%,PCHIP,2020-06-01,635.0,647.2686014750068
1,Aleatório 20%,PCHIP,2020-08-01,729.4,665.4962962962962
1,Aleatório 20%,PCHIP,2020-09-01,645.4,634.1037037037037
1,Aleatório 20%,PCHIP,2021-04-01,636.1,668.1258033083229
1,Aleatório 20%,PCHIP,2021-06-01,703.3,726.2331410825199
1,Aleatório 20%,PCHIP,2022-04-01,636.2,683.0
1,Aleatório 20%,PCHIP,2022-11-01,682.8,683.4
1,Aleatório 20%,Harmônica log,2015-02-01,359.5,398.345118838971
1,Aleatório 20%,Harmônica log,2017-05-01,496.8,505.8280464332618
1,Aleatório 20%,Harmônica log,2017-09-01,531.7,533.2374417659037
1,Aleatório 20%,Harmônica log,2017-10-01,513.0,496.92239172094276
1,Aleatório 20%,Harmônica log,2018-03-01,532.5,501.24900240705256
1,Aleatório 20%,Harmônica log,2018-04-01,521.7,537.1327211325791
1,Aleatório 20%,Harmônica log,2019-02-01,489.1,513.4794667958914
1,Aleatório 20%,Harmônica log,2019-07-01,667.2,670.9892584138166
1,Aleatório 20%,Harmônica log,2019-08-01,677.0,686.5452827358903
1,Aleatório 20%,Harmônica log,2020-06-01,635.0,637.1497660741405
1,Aleatório 20%,Harmônica log,2020-08-01,729.4,731.5349549698019
1,Aleatório 20%,Harmônica log,2020-09-01,645.4,645.0870483234676
1,Aleatório 20%,Harmônica log,2021-04-01,636.1,649.7993848404274
1,Aleatório 20%,Harmônica log,2021-06-01,703.3,678.9025242102944
1,Aleatório 20%,Harmônica log,2022-04-01,636.2,692.3810791246979
1,Aleatório 20%,Harmônica log,2022-11-01,682.8,748.4134993681229
1,Aleatório 20%,Harmônica + resíduo,2015-02-01,359.5,427.6302739994976
1,Aleatório 20%,Harmônica + resíduo,2017-05-01,496.8,494.926809110461
1,Aleatório 20%,Harmônica + resíduo,2017-09-01,531.7,525.3991672828406
1,Aleatório 20%,Harmônica + resíduo,2017-10-01,513.0,486.9273082694265
1,Aleatório 20%,Harmônica + resíduo,2018-03-01,532.5,487.18233669735406
1,Aleatório 20%,Harmônica + resíduo,2018-04-01,521.7,536.5816205806669
1,Aleatório 20%,Harmônica + resíduo,2019-02-01,489.1,537.6790246336423
1,Aleatório 20%,Harmônica + resíduo,2019-07-01,667.2,670.2744622578361
1,Aleatório 20%,Harmônica + resíduo,2019-08-01,677.0,684.2420688039153
1,Aleatório 20%,Harmônica + resíduo,2020-06-01,635.0,612.5631015117145
1,Aleatório 20%,Harmônica + resíduo,2020-08-01,729.4,715.4072564538983
1,Aleatório 20%,Harmônica + resíduo,2020-09-01,645.4,646.3939510244672
1,Aleatório 20%,Harmônica + resíduo,2021-04-01,636.1,690.0392821044527
1,Aleatório 20%,Harmônica + resíduo,2021-06-01,703.3,695.7276126519124
1,Aleatório 20%,Harmônica + resíduo,2022-04-01,636.2,705.7171119295493
1,Aleatório 20%,Harmônica + resíduo,2022-11-01,682.8,749.373865428111
1,Bloco 3 meses,Média global,2018-05-01,553.4,578.3211764705883
1,Bloco 3 meses,Média global,2018-06-01,566.3,578.3211764705883
1,Bloco 3 meses,Média global,2018-07-01,648.4,578.3211764705883
1,Bloco 3 meses,Linear,2018-05-01,553.4,554.3000000000001
1,Bloco 3 meses,Linear,2018-06-01,566.3,586.9000000000001
1,Bloco 3 meses,Linear,2018-07-01,648.4,619.5
1,Bloco 3 meses,PCHIP,2018-05-01,553.4,542.075
1,Bloco 3 meses,PCHIP,2018-06-01,566.3,586.9
1,Bloco 3 meses,PCHIP,2018-07-01,648.4,631.725
1,Bloco 3 meses,Harmônica log,2018-05-01,553.4,537.5609325439037
1,Bloco 3 meses,Harmônica log,2018-06-01,566.3,560.3143393937638
1,Bloco 3 meses,Harmônica log,2018-07-01,648.4,627.9074401738435
1,Bloco 3 meses,Harmônica + resíduo,2018-05-01,553.4,531.1477674721557
1,Bloco 3 meses,Harmônica + resíduo,2018-06-01,566.3,558.068344157914
1,Bloco 3 meses,Harmônica + resíduo,2018-07-01,648.4,630.4044499753727
1,Bloco 6 meses,Média global,2020-03-01,549.3,575.359756097561
1,Bloco 6 meses,Média global,2020-04-01,557.2,575.359756097561
1,Bloco 6 meses,Média global,2020-05-01,592.6,575.359756097561
1,Bloco 6 meses,Média global,2020-06-01,635.0,575.359756097561
1,Bloco 6 meses,Média global,2020-07-01,682.4,575.359756097561
1,Bloco 6 meses,Média global,2020-08-01,729.4,575.359756097561
1,Bloco 6 meses,Linear,2020-03-01,549.3,469.1714285714286
1,Bloco 6 meses,Linear,2020-04-01,557.2,498.54285714285714
1,Bloco 6 meses,Linear,2020-05-01,592.6,527.9142857142857
1,Bloco 6 meses,Linear,2020-06-01,635.0,557.2857142857142
1,Bloco 6 meses,Linear,2020-07-01,682.4,586.6571428571428
1,Bloco 6 meses,Linear,2020-08-01,729.4,616.0285714285715
1,Bloco 6 meses,PCHIP,2020-03-01,549.3,451.18892128279884
1,Bloco 6 meses,PCHIP,2020-04-01,557.2,480.5603498542274
1,Bloco 6 meses,PCHIP,2020-05-01,592.6,520.7212827988338
1,Bloco 6 meses,PCHIP,2020-06-01,635.0,564.4787172011661
1,Bloco 6 meses,PCHIP,2020-07-01,682.4,604.6396501457726
1,Bloco 6 meses,PCHIP,2020-08-01,729.4,634.0110787172011
1,Bloco 6 meses,Harmônica log,2020-03-01,549.3,565.8341945153895
1,Bloco 6 meses,Harmônica log,2020-04-01,557.2,608.9261878420681
1,Bloco 6 meses,Harmônica log,2020-05-01,592.6,613.9755449793283
1,Bloco 6 meses,Harmônica log,2020-06-01,635.0,638.4599626982114
1,Bloco 6 meses,Harmônica log,2020-07-01,682.4,715.5247183495807
1,Bloco 6 meses,Harmônica log,2020-08-01,729.4,733.135137489507
1,Bloco 6 meses,Harmônica + resíduo,2020-03-01,549.3,469.1958214835859
1,Bloco 6 meses,Harmônica + resíduo,2020-04-01,557.2,521.006943612396
1,Bloco 6 meses,Harmônica + resíduo,2020-05-01,592.6,542.0556123274358
1,Bloco 6 meses,Harmônica + resíduo,2020-06-01,635.0,581.6213673697771
