Repetição,Cenário,Método,N apagado,MAE,RMSE,MAPE (%)
3,Aleatório 10%,PCHIP,8,22.49761381560159,31.834976189732707,3.7652484073745565
3,Aleatório 10%,Harmônica log,8,33.858602364407076,38.19873004792834,5.503261338520122
3,Aleatório 10%,Harmônica + resíduo,8,39.156201734736776,42.94284392521765,6.348256627291823
3,Aleatório 20%,Média global,16,87.11612318840582,100.75743046233981,16.908296222321226
3,Aleatório 20%,Linear,16,40.89427083333332,55.17593156874804,7.834839918687211
3,Aleatório 20%,PCHIP,16,41.195676098295664,56.202239163697016,7.962197595148806
3,Aleatório 20%,Harmônica log,16,24.803834339108246,30.471191518863236,4.654782513789636
3,Aleatório 20%,Harmônica + resíduo,16,30.13469298026745,40.65470180528044,5.930997660022838
3,Bloco 3 meses,Média global,3,104.80392156862744,106.58654166944297,22.148944840694572
3,Bloco 3 meses,Linear,3,5.300000000000011,5.891342518192842,1.090212405968201
3,Bloco 3 meses,PCHIP,3,3.6166666666666365,3.7828982289266504,0.7666320158137104
3,Bloco 3 meses,Harmônica log,3,12.33403744838256,13.774935961760484,2.547467604278883
3,Bloco 3 meses,Harmônica + resíduo,3,11.692179676079945,13.271475222822387,2.5013726352355206
3,Bloco 6 meses,Média global,6,171.62032520325204,189.45090149805446,22.339809361382624
3,Bloco 6 meses,Linear,6,76.19523809523805,95.59736746724073,9.613339934446314
3,Bloco 6 meses,PCHIP,6,73.69669582118559,92.0804981424535,9.307512976227843
3,Bloco 6 meses,Harmônica log,6,37.33405450023472,39.82424020222638,5.178634647294
3,Bloco 6 meses,Harmônica + resíduo,6,42.03988923649346,43.766889920848094,5.733527805042789
4,Aleatório 10%,Média global,8,78.97500000000002,100.4796455906187,16.503476062479912
4,Aleatório 10%,Linear,8,36.797916666666666,47.57003864186878,7.341036247397416
4,Aleatório 10%,PCHIP,8,38.034368382347466,51.30615429905101,7.5484274545436545
4,Aleatório 10%,Harmônica log,8,24.681743776426757,30.799639590317458,4.692300825076937
4,Aleatório 10%,Harmônica + resíduo,8,48.14213789733481,55.21307495836877,9.153195348120049
