data,Série de trabalho,Cópia tratada,Holt,Holt-Winters aditivo,Holt-Winters multiplicativo
2022-04-01,636.2,636.2,717.5811738683427,672.8422513059727,662.6063206469801
2022-05-01,671.6,671.6,720.8992368642779,698.1357245541062,687.9206488515017
2022-06-01,745.1,745.1,724.2173003382711,725.3416703059017,726.2560066657437
2022-07-01,832.4,832.4,727.5353648580567,795.4423284292176,819.8384572166807
2022-08-01,852.0,852.0,730.8534306292706,804.237161682046,832.125780019481
2022-09-01,709.2,709.2,734.1714966431043,738.3016009644763,734.8320950479715
2022-10-01,683.4,683.4,737.4895604796093,705.7895761420099,694.8511221372646
2022-11-01,682.8,682.8,740.8076238822212,720.5379657128361,708.9777088185989
2022-12-01,785.9149345689436,785.9149345689436,744.1256872264494,771.6543408375358,776.1314869174985
2023-01-01,688.4,688.4,747.4437520577668,766.4453249955941,745.9566591147352
2023-02-01,695.0,687.3319158746071,750.7618153865556,633.8794850869078,623.3946410215891
2023-03-01,736.9,736.9,754.0798786499855,725.9748796899288,730.3242325112061
2023-04-01,690.1,690.1,757.3979426025945,690.2391764714935,693.3083173712973
2023-05-01,722.2,722.2,760.7160058083861,724.9200432830349,724.4009118176667
2023-06-01,775.1,775.1,764.0340694430619,774.3133996193947,767.5497372685055
2023-07-01,888.8,888.8,767.352133816566,848.6192735309216,863.662042869339
2023-08-01,886.1,886.1,770.6701998348894,862.2537107814239,878.6490219704593
2023-09-01,781.1,781.1,773.9882657635368,761.7472642166731,773.5225974305337
2023-10-01,741.9,741.9,777.3063300781189,738.9838886000177,737.3912549637183
2023-11-01,763.0,763.0,780.6243937591325,751.1953096111981,755.3622348155399
2023-12-01,836.8112517134059,836.8112517134059,783.9424577051176,830.5413153322477,833.9672477441651
2024-01-01,775.4228850080989,775.4228850080989,787.2605227015331,786.825341235435,799.932957554694
2024-02-01,711.1026156794779,711.1026156794779,790.5785867337477,717.13668165183,674.1693344258204
2024-03-01,794.2,794.2,793.8966497580725,783.391222276947,782.6655763419787
2024-04-01,741.2,741.2,797.214713971202,743.1619973228436,743.5739446700344
2024-05-01,775.1,775.1,800.5327773451268,776.5340655256025,776.9032096842695
2024-06-01,820.5,820.5,803.8508411747578,827.5328708999012,823.0516697323676
2024-07-01,939.6,939.6,807.1689056314588,916.6427168706477,923.6248697929544
2024-08-01,964.9,964.9,810.4869718134448,921.1682970921729,937.3433120893059
2024-09-01,847.5,847.5,813.8050383229875,821.7300380001334,828.18373141995
2024-10-01,774.2,774.2,817.1231030336907,793.2478080461465,791.2654034031992
2024-11-01,784.9,784.9,820.4411666026957,805.8675903829311,806.1530224124054
2024-12-01,891.0036445334006,891.0036445334006,823.7592302817003,878.2174600095586,883.7864458665908
