data,Trabalho,Cópia tratada,MM3,MM6,MM12,MM centrada 2x12
2019-02-01,489.1,489.1,572.5864846014751,567.4599089674043,573.2632878170355,585.6924544837021
2019-03-01,573.2,573.2,559.8333333333334,567.2932423007376,576.6549544837022,587.8882878170355
2019-04-01,553.4,553.4,538.5666666666667,568.1765756340709,579.2966211503689,590.3341211503687
2019-05-01,566.5,566.5,564.3666666666667,568.4765756340709,580.3882878170355,592.7257878170354
2019-06-01,598.7,598.7,572.8666666666667,566.35,583.0882878170354,595.4798910158961
2019-07-01,667.2,667.2,610.8000000000001,574.6833333333334,584.6549544837021,595.6006608814232
2019-08-01,677.0,677.0,647.6333333333333,606.0,586.729954483702,594.6193570375242
2019-09-01,602.0,602.0,648.7333333333333,610.8000000000001,589.0466211503689,595.573515297436
2019-10-01,579.0,579.0,619.3333333333334,615.0666666666667,591.6216211503688,596.1381440679135
2019-11-01,591.2,591.2,590.7333333333333,619.1833333333334,593.8299544837022,597.3839774012469
2019-12-01,651.0579305770789,651.0579305770789,607.0859768590263,627.9096550961799,597.1298275480899,599.9839774012469
2020-01-01,580.5,580.5,607.5859768590263,613.4596550961797,594.0714942147566,602.5691190622524
2020-02-01,439.8,502.248707746422,577.9355461078336,584.3344397205834,595.1672198602918,605.8250940565913
2020-03-01,549.3,582.9510904914614,555.2332660792945,581.1596214691604,595.9798107345802,609.8167607232579
2020-04-01,557.2,557.2,547.4665994126278,577.526288135827,596.2964774012469,613.2167607232578
2020-05-01,592.6,592.6,577.5836968304872,577.7596214691604,598.471477401247,617.1209273899246
2020-06-01,635.0,635.0,594.9333333333334,575.0832997063139,601.4964774012469,621.1902147902177
2020-07-01,682.4,692.9433998641332,640.1811332880444,593.8238663503362,603.6417607232579,629.2761688571775
2020-08-01,729.4,729.4,685.7811332880443,631.6824150592657,608.0084273899246,637.6113189823207
2020-09-01,645.4,645.4,689.247799954711,642.0905666440223,611.6250940565914,642.9568403369864
2020-10-01,617.2,617.2,664.0,652.0905666440223,614.8084273899246,649.5838782331755
2020-11-01,646.7,646.7,636.4333333333334,661.1072333106889,619.4334273899246,656.1963782331754
2020-12-01,693.220828184113,693.220828184113,652.3736093947043,670.8107046747077,622.9470021905108,662.3672115665088
2021-01-01,732.4,732.4,690.7736093947043,677.3868046973522,635.6053355238441,668.6654032388366
2021-02-01,526.4,550.39231074986,658.6710463113244,647.5521898223288,639.6173024407973,673.4219282444977
2021-03-01,663.1,663.1,648.6307702499533,650.5021898223289,646.2963782331755,676.7802615778311
2021-04-01,636.1,636.1,616.5307702499533,653.6521898223288,652.8713782331755,680.6302615778311
2021-05-01,672.4,672.4,657.1999999999999,657.9355231556622,659.5213782331755,683.4719282444977
2021-06-01,703.3,703.3,670.6,659.6153851249767,665.2130448998422,686.3883195717949
2021-07-01,775.8,775.8,717.1666666666666,666.8487184583099,672.1177615778312,687.8755442324256
2021-08-01,760.7,760.7,746.5999999999999,701.9,674.7260949111644,690.5383646178482
2021-09-01,694.7,694.7,743.7333333333335,707.1666666666666,678.8344282444978,694.8886850032706
2021-10-01,660.3,660.3,705.2333333333332,711.1999999999999,682.4260949111645,696.197018336604
2021-11-01,671.8,671.8,675.6,711.1,684.517761577831,696.1678516699372
2021-12-01,738.1142200392474,738.1142200392474,690.0714066797491,716.9023700065412,688.258877565759,697.8761850032706
2022-01-01,723.2,723.2,711.0380733464158,708.1357033398746,687.4922108990922,701.9761850032705
2022-02-01,623.5,623.5,694.9380733464158,685.2690366732078,693.584518336604,708.1386850032707
2022-03-01,694.4,694.4,680.3666666666667,685.2190366732079,696.1928516699372,712.547018336604
2022-04-01,636.2,636.2,651.3666666666667,681.2023700065412,696.2011850032706,714.1136850032706
2022-05-01,671.6,671.6,667.4,681.1690366732079,696.134518336604,715.5345183366039
