data,valor_100_milhoes_kwh,valor_twh,publicacao,url,arquivo_fonte,trecho_original,status,observado_direto_twh,nota
2023-05-01,7222.0,722.2,2023-06-16,https://obor.nea.gov.cn/detail/19346.html,fontes_html/2e6389e23b0e6a769c33.html,5月份，全社会用电量7222亿千瓦时,observado_mensal,722.2,Número atribuído à NEA em republicação do People's Daily no portal de cooperação energética da NEA.
2023-06-01,7751.0,775.1,2023-07-13,https://www.nea.gov.cn/2023-07/13/c_1310732362.htm,fontes_html/88555cbb82435b6b466e.html,6月份，全社会用电量7751亿千瓦时,observado_mensal,775.1,
2023-07-01,8888.0,888.8,2023-08-14,https://www.nea.gov.cn/2023-08/14/c_1310736871.htm,fontes_html/d381d2c88c00f5d2f218.html,7月份，全社会用电量8888亿千瓦时,observado_mensal,888.8,
2023-08-01,8861.0,886.1,2023-09-14,https://www.nea.gov.cn/2023-09/14/c_1310741272.htm,fontes_html/93ae882b8209e61cc991.html,8月份，全社会用电量8861亿千瓦时,observado_mensal,886.1,
2023-09-01,7811.0,781.1,2023-10-16,https://www.nea.gov.cn/2023-10/16/c_1310745454.htm,fontes_html/2576fcd1e32079cc238e.html,9月份，全社会用电量7811亿千瓦时,observado_mensal,781.1,
2023-10-01,7419.0,741.9,2023-11-15,https://www.nea.gov.cn/2023-11/15/c_1310750688.htm,fontes_html/bb2545438a92922c02bf.html,10月份，全社会用电量7419亿千瓦时,observado_mensal,741.9,
2023-11-01,7630.0,763.0,2023-12-15,https://www.nea.gov.cn/2023-12/15/c_1310755543.htm,fontes_html/50fe4f934bfca2b7ae53.html,11月份，全社会用电量7630亿千瓦时,observado_mensal,763.0,
2023-12-01,,,,,,,nao_localizado_mensal,,Valor mensal não localizado nos boletins coletados; não significa consumo zero nem inexistência em outras bases. Há total anual separado; diferença entre publicações pode conter revisões.
2024-01-01,,,,,,,nao_localizado_mensal,,"Boletim divulga apenas janeiro–fevereiro: 1531,6 TWh; divisão mensal não identificada nesta coleta."
2024-02-01,,,,,,,nao_localizado_mensal,,"Boletim divulga apenas janeiro–fevereiro: 1531,6 TWh; divisão mensal não identificada nesta coleta."
2024-03-01,7942.0,794.2,2024-04-17,https://www.nea.gov.cn/2024-04/17/c_1310771602.htm,fontes_html/2732823f5ba7a089599b.html,3月份，全社会用电量7942亿千瓦时,observado_mensal,794.2,
2024-04-01,7412.0,741.2,2024-05-17,https://www.nea.gov.cn/2024-05/17/c_1212363227.htm,fontes_html/5a3f84ec5078f72ee130.html,4月份，全社会用电量7412亿千瓦时,observado_mensal,741.2,
2024-05-01,7751.0,775.1,2024-06-20,https://www.nea.gov.cn/2024-06/20/c_1310779060.htm,fontes_html/792431b4744d309fa34a.html,5月份，全社会用电量7751亿千瓦时,observado_mensal,775.1,
2024-06-01,8205.0,820.5,2024-07-19,https://www.nea.gov.cn/2024-07/19/c_1310782234.htm,fontes_html/048f31195fb943d6d1f1.html,6月份，全社会用电量8205亿千瓦时,observado_mensal,820.5,
2024-07-01,9396.0,939.6,2024-08-22,https://www.nea.gov.cn/2024-08/22/c_1310785024.htm,fontes_html/8659e953c984e35ef7ed.html,7月份，全社会用电量9396亿千瓦时,observado_mensal,939.6,
2024-08-01,9649.0,964.9,2024-09-20,https://www.nea.gov.cn/2024-09/20/c_1212399358.htm,fontes_html/c2a762b521afba14e113.html,8月份，全社会用电量9649亿千瓦时,observado_mensal,964.9,
2024-09-01,8475.0,847.5,2024-10-19,https://www.nea.gov.cn/2024-10/19/c_1212405503.htm,fontes_html/e7566e8a12f887459db9.html,9月份，全社会用电量8475亿千瓦时,observado_mensal,847.5,
2024-10-01,7742.0,774.2,2024-11-20,https://www.nea.gov.cn/2024-11/20/c_1310787334.htm,fontes_html/c43edbeed251bcac529a.html,10月份，全社会用电量7742亿千瓦时,observado_mensal,774.2,
2024-11-01,7849.0,784.9,2024-12-19,https://www.nea.gov.cn/20241219/4130c6eff80341cca0b06da153624bfa/c.html,fontes_html/5f55438eb59807959e9d.html,11月份，全社会用电量7849亿千瓦时,observado_mensal,784.9,
2024-12-01,,,,,,,nao_localizado_mensal,,Valor mensal não localizado nos boletins coletados; não significa consumo zero nem inexistência em outras bases. Há total anual separado; diferença entre publicações pode conter revisões.
